category,image_url,question,question_en,option1,option2,option3,option4,answer_index,rationale,rationale_en,hint
street,/images_quiz/street/street-sign-solbat-sutbul-galbi-0001.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,솔밭숯불갈비 (Solbat Charcoal Galbi),광장시장 (Gwangjang Market),서울역 (Seoul Station),남산마트 (Namsan Mart),1,정답은 솔밭숯불갈비 입니다.,The correct answer is Solbat Charcoal Galbi.,
street,/images_quiz/street/street-sign-jayeonsan-gwang-eo-0002.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,금연 (No Smoking),자연산광어 (Wild Flounder),우리부동산 (Uri Real Estate),출입구 (Entrance),2,정답은 자연산광어 입니다.,The correct answer is Wild Flounder.,
street,/images_quiz/street/street-sign-gwangjang-sijang-0003.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,청춘시장 (Youth Market),이태원 (Itaewon),광장시장 (Gwangjang Market),삼각지역 (Samgakji Station),3,정답은 광장시장 입니다.,The correct answer is Gwangjang Market.,
street,/images_quiz/street/street-sign-sambe-sukseonggo-0004.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,삼베숙성고 (Hemp Aging Room),경복탕 (Gyeongbok Bathhouse),불란서제빵소 (French Bakery),힐링세탁 (Healing Laundry),1,정답은 삼베숙성고 입니다.,The correct answer is Hemp Aging Room.,
street,/images_quiz/street/street-sign-jiha-seongdang-gohaeso-0005.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,창광교회 (Changgwang Church),나가는곳 (Exit),지하성당고해소 (Underground Cathedral Confessional),신선중학교 (Shinseon Middle School),3,정답은 지하성당고해소 입니다.,The correct answer is Underground Cathedral Confessional.,
street,/images_quiz/street/street-sign-heoriudeu-keullaesik-0006.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,헐리우드클래식 (Hollywood Classic),스타맥스 (Starmax),뉴유성메들리 (New Yuseong Medley),융프라우빌라 (Jungfrau Villa),1,정답은 헐리우드클래식 입니다.,The correct answer is Hollywood Classic.,
street,/images_quiz/street/street-sign-nampo-jiha-shopping-senteo-0007.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,광장시장 (Gwangjang Market),남포지하쇼핑센터 (Nampo Underground Shopping),청춘시장 (Youth Market),대림음식백화점 (Daerim Food Dept),2,정답은 남포지하쇼핑센터 입니다.,The correct answer is Nampo Underground Shopping Center.,
street,/images_quiz/street/street-sign-maeju-illyo-il-eun-swimnida-0008.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,교환환불안됩니다 (No Exchange/Refund),천천히 (Slowly),기대지마시오 (Do Not Lean),매주일요일은쉽니다 (Closed Every Sunday),4,정답은 매주일요일은쉽니다 입니다.,The correct answer is Closed Every Sunday.,
street,/images_quiz/street/street-sign-changgwang-gyohoe-0009.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,창광교회 (Changgwang Church),신선중학교 (Shinseon Middle School),경복탕 (Gyeongbok Bathhouse),백난모텔 (Baeknan Motel),1,정답은 창광교회 입니다.,The correct answer is Changgwang Church.,
street,/images_quiz/street/street-sign-nunbusige-kkotdaweo-0010.jpg,이 간판은 무엇이라고 쓰여 있나요?,What does this sign say?,메리크리스마스 (Merry Christmas),눈부시게꽃다워 (Dazzlingly Beautiful),반갑다괴물아 (Hello Monster),안전제일 (Safety First),2,정답은 눈부시게꽃다워 입니다.,The correct answer is Dazzlingly Beautiful.,
