category,image_url,question,question_en,option1,option2,option3,option4,answer_index,rationale,rationale_en,hint
food,/images_quiz/food/food-andong-jjimdak-0021.jpg,이 음식은 무엇인가요?,What is this food?,아이스크림 (Ice Cream),안동찜닭 (Andong Jjimdak),김장배추 (Kimjang Cabbage),계란 (Egg),2,정답은 안동찜닭 (Andong Jjimdak) 입니다.,The correct answer is Andong Jjimdak.,
food,/images_quiz/food/food-apple-0080.jpg,이 음식은 무엇인가요?,What is this food?,굴 (Oyster),곰탕 (Gomtang),사과 (Apple),짜장면 (Jjajangmyeon),3,정답은 사과 (Apple) 입니다.,The correct answer is Apple.,
food,/images_quiz/food/food-baechu-kimchi-0046.jpg,이 음식은 무엇인가요?,What is this food?,배추김치 (Baechu Kimchi),민트초코 (Mint Chocolate),쭈꾸미 (Jjukkumi),돈까스 (Tonkatsu),1,정답은 배추김치 (Baechu Kimchi) 입니다.,The correct answer is Baechu Kimchi.,
food,/images_quiz/food/food-baguette-0078.jpg,이 음식은 무엇인가요?,What is this food?,바게트 (Baguette),햄버거 (Hamburger),새우튀김 (Shrimp Tempura),홍고추 (Red Chili Pepper),1,정답은 바게트 (Baguette) 입니다.,The correct answer is Baguette.,
food,/images_quiz/food/food-banana-0064.jpg,이 음식은 무엇인가요?,What is this food?,인절미 (Injeolmi),호박죽 (Hobakjuk),김 (Gim (Seaweed)),바나나 (Banana),4,정답은 바나나 (Banana) 입니다.,The correct answer is Banana.,
food,/images_quiz/food/food-beondegi-0016.jpg,이 음식은 무엇인가요?,What is this food?,번데기 (Beondegi),돼지껍데기 (Dwaeji Kkeopdegi),굴 (Oyster),동동주 (Dongdongju),1,정답은 번데기 (Beondegi) 입니다.,The correct answer is Beondegi.,
food,/images_quiz/food/food-bibim-memil-guksu-0004.jpg,이 음식은 무엇인가요?,What is this food?,비빔메밀국수 (Bibim Memil Guksu),육회 (Yukhoe),전복 (Abalone),찐빵 (Jjinppang),1,정답은 비빔메밀국수 (Bibim Memil Guksu) 입니다.,The correct answer is Bibim Memil Guksu.,
food,/images_quiz/food/food-bibim-myeon-0116.jpg,이 음식은 무엇인가요?,What is this food?,비빔면 (Bibim Myeon),오뎅탕 (Odeng Tang),민트초코 (Mint Chocolate),도토리묵 (Dotorimuk),1,정답은 비빔면 (Bibim Myeon) 입니다.,The correct answer is Bibim Myeon.,
food,/images_quiz/food/food-bibimbap-0002.jpg,이 음식은 무엇인가요?,What is this food?,비빔밥 (Bibimbap),바나나 (Banana),콩국수 (Kongguksu),돼지갈비 (Dwaeji Galbi),1,정답은 비빔밥 (Bibimbap) 입니다.,The correct answer is Bibimbap.,
food,/images_quiz/food/food-bindaetteok-0123.jpg,이 음식은 무엇인가요?,What is this food?,굴 (Oyster),닭꼬치 (Dakkochi),피자 (Pizza),빈대떡 (Bindaetteok),4,정답은 빈대떡 (Bindaetteok) 입니다.,The correct answer is Bindaetteok.,
food,/images_quiz/food/food-bossam-0122.jpg,이 음식은 무엇인가요?,What is this food?,보쌈 (Bossam),고추장 (Gochujang),굴 (Oyster),김치전 (Kimchi Jeon),1,정답은 보쌈 (Bossam) 입니다.,The correct answer is Bossam.,
food,/images_quiz/food/food-broccoli-0067.jpg,이 음식은 무엇인가요?,What is this food?,소주 (Soju),라면 (Ramyeon),비빔면 (Bibim Myeon),브로콜리 (Broccoli),4,정답은 브로콜리 (Broccoli) 입니다.,The correct answer is Broccoli.,
food,/images_quiz/food/food-byeo-rice-plant-0089.jpg,이 음식은 무엇인가요?,What is this food?,벼 (Rice Plant),짜장면 (Jjajangmyeon),쌀 (Rice),배추김치 (Baechu Kimchi),1,정답은 벼 (Rice Plant) 입니다.,The correct answer is Rice Plant.,
food,/images_quiz/food/food-cake-0092.jpg,이 음식은 무엇인가요?,What is this food?,케이크 (Cake),쌀 (Rice),밀푀유나베 (Millefeuille Nabe),낙지 (Nakji (Octopus)),1,정답은 케이크 (Cake) 입니다.,The correct answer is Cake.,
food,/images_quiz/food/food-cheese-tonkatsu-0035.jpg,이 음식은 무엇인가요?,What is this food?,배추김치 (Baechu Kimchi),총각김치 (Chonggak Kimchi),치즈돈까스 (Cheese Tonkatsu),꽈배기 (Kkwabaegi),3,정답은 치즈돈까스 (Cheese Tonkatsu) 입니다.,The correct answer is Cheese Tonkatsu.,
food,/images_quiz/food/food-cherry-tomato-0084.jpg,이 음식은 무엇인가요?,What is this food?,방울토마토 (Cherry Tomato),핫도그 (Hotdog),파프리카 (Paprika),쌀 (Rice),1,정답은 방울토마토 (Cherry Tomato) 입니다.,The correct answer is Cherry Tomato.,
food,/images_quiz/food/food-chonggak-kimchi-0001.jpg,이 음식은 무엇인가요?,What is this food?,비빔면 (Bibim Myeon),땅콩 (Peanut),총각김치 (Chonggak Kimchi),파프리카 (Paprika),3,정답은 총각김치 (Chonggak Kimchi) 입니다.,The correct answer is Chonggak Kimchi.,
food,/images_quiz/food/food-churros-0082.jpg,이 음식은 무엇인가요?,What is this food?,떡볶이 (Tteokbokki),김부각 (Gim Bugak),장어구이 (Grilled Eel),츄러스 (Churros),4,정답은 츄러스 (Churros) 입니다.,The correct answer is Churros.,
food,/images_quiz/food/food-cocktail-drink-0060.jpg,이 음식은 무엇인가요?,What is this food?,장어덮밥 (Eel Donburi),고추장 (Gochujang),보쌈 (Bossam),칵테일 (Cocktail),4,정답은 칵테일 (Cocktail) 입니다.,The correct answer is Cocktail.,
food,/images_quiz/food/food-coffee-beans-0069.jpg,이 음식은 무엇인가요?,What is this food?,보쌈 (Bossam),츄러스 (Churros),안동찜닭 (Andong Jjimdak),커피콩 (Coffee Beans),4,정답은 커피콩 (Coffee Beans) 입니다.,The correct answer is Coffee Beans.,
food,/images_quiz/food/food-corn-0070.jpg,이 음식은 무엇인가요?,What is this food?,모듬과일 (Mixed Fruit),참치회 (Tuna Sashimi),조개탕 (Jogaetang),옥수수 (Corn),4,정답은 옥수수 (Corn) 입니다.,The correct answer is Corn.,
food,/images_quiz/food/food-daepae-samgyeopsal-0108.jpg,이 음식은 무엇인가요?,What is this food?,연어회 (Salmon Sashimi),동동주 (Dongdongju),대패삼겹살 (Daepae Samgyeopsal),장어구이 (Grilled Eel),3,정답은 대패삼겹살 (Daepae Samgyeopsal) 입니다.,The correct answer is Daepae Samgyeopsal.,
food,/images_quiz/food/food-dakgalbi-0007.jpg,이 음식은 무엇인가요?,What is this food?,곰탕 (Gomtang),오뎅탕 (Odeng Tang),닭갈비 (Dakgalbi),아이스크림 (Ice Cream),3,정답은 닭갈비 (Dakgalbi) 입니다.,The correct answer is Dakgalbi.,
food,/images_quiz/food/food-dakkochi-0114.jpg,이 음식은 무엇인가요?,What is this food?,방울토마토 (Cherry Tomato),피자 (Pizza),쭈꾸미 (Jjukkumi),닭꼬치 (Dakkochi),4,정답은 닭꼬치 (Dakkochi) 입니다.,The correct answer is Dakkochi.,
food,/images_quiz/food/food-doenjang-jjigae-0120.jpg,이 음식은 무엇인가요?,What is this food?,된장찌개 (Doenjang Jjigae),스테이크 (Steak),연어회 (Salmon Sashimi),안동찜닭 (Andong Jjimdak),1,정답은 된장찌개 (Doenjang Jjigae) 입니다.,The correct answer is Doenjang Jjigae.,
food,/images_quiz/food/food-dongdongju-0027.jpg,이 음식은 무엇인가요?,What is this food?,동동주 (Dongdongju),파무침 (Pa Muchim),피자 (Pizza),모듬과일 (Mixed Fruit),1,정답은 동동주 (Dongdongju) 입니다.,The correct answer is Dongdongju.,
food,/images_quiz/food/food-dotorimuk-0098.jpg,이 음식은 무엇인가요?,What is this food?,도토리묵 (Dotorimuk),파김치 (Pa Kimchi),김부각 (Gim Bugak),땅콩 (Peanut),1,정답은 도토리묵 (Dotorimuk) 입니다.,The correct answer is Dotorimuk.,
food,/images_quiz/food/food-dubu-tofu-0126.jpg,이 음식은 무엇인가요?,What is this food?,굴비 (Gulbi),두부 (Tofu),호박죽 (Hobakjuk),호빵 (Hoppang),2,정답은 두부 (Tofu) 입니다.,The correct answer is Tofu.,
food,/images_quiz/food/food-dwaeji-galbi-0029.jpg,이 음식은 무엇인가요?,What is this food?,김치전 (Kimchi Jeon),콩국수 (Kongguksu),고사리 (Gosari (Bracken)),돼지갈비 (Dwaeji Galbi),4,정답은 돼지갈비 (Dwaeji Galbi) 입니다.,The correct answer is Dwaeji Galbi.,
food,/images_quiz/food/food-dwaeji-gukbap-0102.jpg,이 음식은 무엇인가요?,What is this food?,고추장 (Gochujang),장어덮밥 (Eel Donburi),방울토마토 (Cherry Tomato),돼지국밥 (Dwaeji Gukbap),4,정답은 돼지국밥 (Dwaeji Gukbap) 입니다.,The correct answer is Dwaeji Gukbap.,
food,/images_quiz/food/food-dwaeji-kkeopdegi-0121.jpg,이 음식은 무엇인가요?,What is this food?,돼지껍데기 (Dwaeji Kkeopdegi),한우 (Hanwoo (Korean Beef)),스테이크 (Steak),새우튀김 (Shrimp Tempura),1,정답은 돼지껍데기 (Dwaeji Kkeopdegi) 입니다.,The correct answer is Dwaeji Kkeopdegi.,
food,/images_quiz/food/food-eel-donburi-0124.jpg,이 음식은 무엇인가요?,What is this food?,포도 (Grapes),닭발 (Spicy Dakbal),피자 (Pizza),장어덮밥 (Eel Donburi),4,정답은 장어덮밥 (Eel Donburi) 입니다.,The correct answer is Eel Donburi.,
food,/images_quiz/food/food-egg-0071.jpg,이 음식은 무엇인가요?,What is this food?,치킨 (Fried Chicken),계란 (Egg),된장찌개 (Doenjang Jjigae),쌀 (Rice),2,정답은 계란 (Egg) 입니다.,The correct answer is Egg.,
food,/images_quiz/food/food-finger-steak-0057.jpg,이 음식은 무엇인가요?,What is this food?,계란 (Egg),치즈돈까스 (Cheese Tonkatsu),오디 (Mulberry),핑거스테이크 (Finger Steak),4,정답은 핑거스테이크 (Finger Steak) 입니다.,The correct answer is Finger Steak.,
food,/images_quiz/food/food-french-fries-0055.jpg,이 음식은 무엇인가요?,What is this food?,감자튀김 (French Fries),안동찜닭 (Andong Jjimdak),브로콜리 (Broccoli),계란후라이 (Fried Egg),1,정답은 감자튀김 (French Fries) 입니다.,The correct answer is French Fries.,
food,/images_quiz/food/food-fried-chicken-0005.jpg,이 음식은 무엇인가요?,What is this food?,배추김치 (Baechu Kimchi),전복죽 (Jeonbokjuk),치킨 (Fried Chicken),아이스크림 (Ice Cream),3,정답은 치킨 (Fried Chicken) 입니다.,The correct answer is Fried Chicken.,
food,/images_quiz/food/food-fried-egg-0012.jpg,이 음식은 무엇인가요?,What is this food?,한우 (Hanwoo (Korean Beef)),호빵 (Hoppang),계란후라이 (Fried Egg),홍어삼합 (Hongeo Samhap),3,정답은 계란후라이 (Fried Egg) 입니다.,The correct answer is Fried Egg.,
food,/images_quiz/food/food-ganjang-gejang-0022.jpg,이 음식은 무엇인가요?,What is this food?,호박죽 (Hobakjuk),돼지갈비 (Dwaeji Galbi),간장게장 (Ganjang Gejang),와플 (Waffles),3,정답은 간장게장 (Ganjang Gejang) 입니다.,The correct answer is Ganjang Gejang.,
food,/images_quiz/food/food-ganjang-saeujang-0014.jpg,이 음식은 무엇인가요?,What is this food?,물김치 (Mul Kimchi),홍어삼합 (Hongeo Samhap),도토리묵 (Dotorimuk),간장새우장 (Ganjang Saeujang),4,정답은 간장새우장 (Ganjang Saeujang) 입니다.,The correct answer is Ganjang Saeujang.,
food,/images_quiz/food/food-garlic-0075.jpg,이 음식은 무엇인가요?,What is this food?,스테이크 (Steak),나초 (Nachos),마늘 (Garlic),돼지껍데기 (Dwaeji Kkeopdegi),3,정답은 마늘 (Garlic) 입니다.,The correct answer is Garlic.,
food,/images_quiz/food/food-gim-bugak-0100.jpg,이 음식은 무엇인가요?,What is this food?,호박전 (Hobak Jeon),김장배추 (Kimjang Cabbage),브로콜리 (Broccoli),김부각 (Gim Bugak),4,정답은 김부각 (Gim Bugak) 입니다.,The correct answer is Gim Bugak.,
food,/images_quiz/food/food-gim-seaweed-0028.jpg,이 음식은 무엇인가요?,What is this food?,김 (Gim (Seaweed)),타코야끼 (Takoyaki),치킨 (Fried Chicken),곰탕 (Gomtang),1,정답은 김 (Gim (Seaweed)) 입니다.,The correct answer is Gim (Seaweed).,
food,/images_quiz/food/food-gimbap-0038.jpg,이 음식은 무엇인가요?,What is this food?,칵테일 (Cocktail),유부초밥 (Inari Sushi),문어숙회 (Muneo Sukhoe),김밥 (Gimbap),4,정답은 김밥 (Gimbap) 입니다.,The correct answer is Gimbap.,
food,/images_quiz/food/food-ginger-0068.jpg,이 음식은 무엇인가요?,What is this food?,생강 (Ginger),브로콜리 (Broccoli),번데기 (Beondegi),라면 (Ramyeon),1,정답은 생강 (Ginger) 입니다.,The correct answer is Ginger.,
food,/images_quiz/food/food-gochujang-0034.jpg,이 음식은 무엇인가요?,What is this food?,배 (Korean Pear),비빔메밀국수 (Bibim Memil Guksu),고추장 (Gochujang),빈대떡 (Bindaetteok),3,정답은 고추장 (Gochujang) 입니다.,The correct answer is Gochujang.,
